Time [s],Channel 0
1.242827516,0
1.242827556,1
1.242827636,0
1.242827676,1
1.242827716,0
1.242827756,1
1.242827796,0
1.242827836,1
1.242827876,0
1.242827956,1
1.242827996,0
1.242828034,1
1.242828116,0
1.242828196,1
1.242828236,0
1.242828274,1
1.242828356,0
1.242828394,1
1.242828436,0
1.242828474,1
1.242828516,0
1.242828554,1
1.242828596,0
1.242828676,1
1.242828756,0
1.242828794,1
1.242828836,0
1.242828874,1
1.242828916,0
1.242828954,1
1.242828996,0
1.242829076,1
1.242829156,0
1.242829196,1
1.242829236,0
1.242829316,1
1.242829356,0
1.242829394,1
1.242829436,0
1.242829476,1
1.242829516,0
1.242829556,1
1.242829596,0
1.242829636,1
1.242829676,0
1.242829716,1
1.242829796,0
1.242829836,1
1.242829876,0
1.242829956,1
1.242829996,0
1.242830034,1
1.242830116,0
1.242830156,1
1.242830196,0
1.242830276,1
1.242830316,0
1.242830354,1
1.242830396,0
1.242830434,1
1.242830516,0
1.242830556,1
1.242830596,0
1.242830636,1
1.242830676,0
1.242830716,1
1.242830756,0
1.242830796,1
1.242830836,0
1.242830876,1
1.242830916,0
1.242830956,1
1.242830996,0
1.242831076,1
1.242831116,0
1.242831154,1
1.242831196,0
1.242831234,1
1.242831316,0
1.242831356,1
1.242831396,0
1.242831476,1
1.242831556,0
1.242831596,1
1.242831636,0
1.242831716,1
1.242831756,0
1.242831796,1
1.242831836,0
1.242831876,1
1.242831956,0
1.242831996,1
1.242832036,0
1.242832116,1
1.242832156,0
1.242832196,1
1.242832276,0
1.242832356,1
1.242832396,0
1.242832436,1
1.242832476,0
1.242832516,1
1.242832596,0
1.242832636,1
1.242832676,0
1.242832756,1
1.242832796,0
1.242832836,1
1.242832916,0
1.242832956,1
1.242832996,0
1.242833076,1
1.242833156,0
1.242833196,1
1.242833236,0
1.242833316,1
1.242833356,0
1.242833396,1
1.242833476,0
1.242833516,1
1.242833556,0
1.242833636,1
1.242833676,0
1.242833714,1
1.242833756,0
1.242833794,1
1.242833836,0
1.242833876,1
1.242833916,0
1.242833956,1
1.242834036,0
1.242834116,1
1.242834156,0
1.242834196,1
1.242834276,0
1.242834316,1
1.242834356,0
1.242834396,1
1.242834436,0
1.242834516,1
1.242834556,0
1.242834594,1
1.242834636,0
1.242834674,1
1.242834716,0
1.242834756,1
1.242834796,0
1.242834836,1
1.242834916,0
1.242834996,1
1.242835036,0
1.242835074,1
1.242835116,0
1.242835154,1
1.242835196,0
1.242835234,1
1.242835316,0
1.242835396,1
1.242835436,0
1.242835474,1
1.242835556,0
1.242835596,1
1.242835636,0
1.242835674,1
1.242835716,0
1.242835796,1
1.242835836,0
1.242835874,1
1.242835956,0
1.242835994,1
1.242836036,0
1.242836074,1
1.242836116,0
1.242836196,1
1.242836236,0
1.242836274,1
1.242836316,0
1.242836354,1
1.242836396,0
1.242836434,1
1.242836516,0
1.242836556,1
1.242836596,0
1.242836634,1
1.242836676,0
1.242836714,1
1.242836756,0
1.242836794,1
1.242836836,0
1.242836916,1
1.242836996,0
1.242837034,1
1.242837076,0
1.242837114,1
1.242837156,0
1.242837236,1
1.242837276,0
1.242837314,1
1.242837356,0
1.242837394,1
1.242837436,0
1.242837474,1
1.242837556,0
1.242837596,1
1.242837636,0
1.242837716,1
1.242837796,0
1.242837834,1
1.242837876,0
1.242837914,1
1.242837956,0
1.242837994,1
1.242838036,0
1.242838114,1
1.242838156,0
1.242838194,1
1.242838276,0
1.242838354,1
1.242838396,0
1.242838434,1
1.242838476,0
1.242838514,1
1.242838596,0
1.242838636,1
1.242838676,0
1.242838756,1
1.242838796,0
1.242838834,1
1.242838876,0
1.242838914,1
1.242838956,0
1.242838994,1
1.242839036,0
1.242839074,1
1.242839116,0
1.242839154,1
1.242839196,0
1.242839234,1
1.242839276,0
1.242839316,1
1.242839356,0
1.242839396,1
1.242839476,0
1.242839556,1
1.242839636,0
1.242839674,1
1.242839716,0
1.242839796,1
1.242839836,0
1.242839874,1
1.242839956,0
1.242839996,1
1.242840036,0
1.242840076,1
1.242840116,0
1.242840156,1
1.242840196,0
1.242840276,1
1.242840316,0
1.242840354,1
1.242840396,0
1.242840434,1
1.242840516,0
1.242840556,1
1.242840596,0
1.242840636,1
1.242840676,0
1.242840716,1
1.242840756,0
1.242840796,1
1.242840836,0
1.242840876,1
1.242840916,0
1.242840956,1
1.242840996,0
1.242841076,1
1.242841156,0
1.242841196,1
1.242841236,0
1.242841316,1
1.242841356,0
1.242841396,1
1.242841436,0
1.242841476,1
1.242841516,0
1.242841556,1
1.242841596,0
1.242841636,1
1.242841716,0
1.242841796,1
1.242841836,0
1.242841874,1
1.242841916,0
1.242841954,1
1.242841996,0
1.242842034,1
1.242842116,0
1.242842156,1
1.242842196,0
1.242842276,1
1.242842356,0
1.242842394,1
1.242842436,0
1.242842474,1
1.242842516,0
1.242842554,1
1.242842596,0
1.242842634,1
1.242842676,0
1.242842754,1
1.242842796,0
1.242842834,1
1.242842876,0
1.242842914,1
1.242842956,0
1.242842994,1
1.242843036,0
1.242843074,1
1.242843116,0
1.242843154,1
1.242843196,0
1.242843234,1
1.242843316,0
1.242843354,1
1.242843396,0
1.242843476,1
1.242843556,0
1.242843634,1
1.242843676,0
1.242843714,1
1.242843796,0
1.242843834,1
1.242843876,0
1.242843954,1
1.242843996,0
1.242844034,1
1.242844076,0
1.242844114,1
1.242844156,0
1.242844194,1
1.242844236,0
1.242844274,1
1.242844356,0
1.242844396,1
1.242844436,0
1.242844516,1
1.242844556,0
1.242844594,1
1.242844676,0
1.242844714,1
1.242844756,0
1.242844834,1
1.242844876,0
1.242844914,1
1.242844996,0
1.242845034,1
1.242845076,0
1.242845154,1
1.242845196,0
1.242845234,1
1.242845316,0
1.242845354,1
1.242845396,0
1.242845474,1
1.242845556,0
1.242845594,1
1.242845636,0
1.242845674,1
1.242845716,0
1.242845754,1
1.242845796,0
1.242845834,1
1.242845876,0
1.242845914,1
1.242845956,0
1.242845994,1
1.242846036,0
1.242846116,1
1.242846156,0
1.242846194,1
1.242846276,0
1.242846354,1
1.242846396,0
1.242846434,1
1.242846476,0
1.242846514,1
1.242846556,0
1.242846594,1
1.242846676,0
1.242846716,1
1.242846756,0
1.242846796,1
1.242846836,0
1.242846916,1
1.242846996,0
1.242847034,1
1.242847076,0
1.242847156,1
1.242847196,0
1.242847234,1
1.242847316,0
1.242847356,1
1.242847396,0
1.242847476,1
1.242847516,0
1.242847554,1
1.242847636,0
1.242847674,1
1.242847716,0
1.242847794,1
1.242847836,0
1.242847874,1
1.242847916,0
1.242847954,1
1.242847996,0
1.242848034,1
1.242848116,0
1.242848194,1
1.242848236,0
1.242848274,1
1.242848356,0
1.242848394,1
1.242848436,0
1.242848474,1
1.242848516,0
1.242848554,1
1.242848596,0
1.242848634,1
1.242848676,0
1.242848754,1
1.242848796,0
1.242848834,1
1.242848876,0
1.242848914,1
1.242848956,0
1.242848994,1
1.242849036,0
1.242849074,1
1.242849116,0
1.242849154,1
1.242849196,0
1.242849234,1
1.242849316,0
1.242849356,1
1.242849396,0
1.242849476,1
1.242849516,0
1.242849554,1
1.242849636,0
1.242849676,1
1.242849716,0
1.242849796,1
1.242849836,0
1.242849874,1
1.242849956,0
1.242849996,1
1.242850036,0
1.242850074,1
1.242850116,0
1.242850156,1
1.242850196,0
1.242850276,1
1.242850356,0
1.242850394,1
1.242850436,0
1.242850514,1
1.242850556,0
1.242850594,1
1.242850636,0
1.242850674,1
1.242850756,0
1.242850794,1
1.242850836,0
1.242850874,1
1.242850916,0
1.242850954,1
1.242850996,0
1.242851074,1
1.242851116,0
1.242851154,1
1.242851236,0
1.242851314,1
1.242851356,0
1.242851394,1
1.242851476,0
1.242851554,1
1.242851636,0
1.242851674,1
1.242851716,0
1.242851794,1
1.242851836,0
1.242851874,1
1.242851916,0
1.242851954,1
1.242851996,0
1.242852034,1
1.242852116,0
1.242852154,1
1.242852196,0
1.242852234,1
1.242852276,0
1.242852314,1
1.242852356,0
1.242852394,1
1.242852436,0
1.242852474,1
1.242852516,0
1.242852554,1
1.242852596,0
1.242852674,1
1.242852716,0
1.242852754,1
1.242852796,0
1.242852834,1
1.242852916,0
1.242852954,1
1.242852996,0
1.242853074,1
1.242853116,0
1.242853154,1
1.242853196,0
1.242853234,1
1.242853276,0
1.242853314,1
1.242853356,0
1.242853394,1
1.242853476,0
1.242853556,1
1.242853596,0
1.242853634,1
1.242853676,0
1.242853714,1
1.242853756,0
1.242853794,1
1.242853836,0
1.242853874,1
1.242853956,0
1.242853994,1
1.242854036,0
1.242854074,1
1.242854116,0
1.242854154,1
1.242854196,0
1.242854274,1
1.242854316,0
1.242854354,1
1.242854396,0
1.242854434,1
1.242854476,0
1.242854514,1
1.242854556,0
1.242854594,1
1.242854676,0
1.242854754,1
1.242854836,0
1.242854874,1
1.242854916,0
1.242854994,1
1.242855036,0
1.242855074,1
1.242855116,0
1.242855154,1
1.242855196,0
1.242855234,1
1.242855316,0
1.242855394,1
1.242855436,0
1.242855474,1
1.242855516,0
1.242855554,1
1.242855636,0
1.242855714,1
1.242855756,0
1.242855794,1
1.242855876,0
1.242855954,1
1.242855996,0
1.242856034,1
1.242856076,0
1.242856114,1
1.242856156,0
1.242856194,1
1.242856276,0
1.242856354,1
1.242856396,0
1.242856434,1
1.242856476,0
1.242856514,1
1.242856556,0
1.242856594,1
1.242856636,0
1.242856674,1
1.242856756,0
1.242856834,1
1.242856876,0
1.242856914,1
1.242856996,0
1.242857034,1
1.242857076,0
1.242857154,1
1.242857196,0
1.242857234,1
1.242857316,0
1.242857394,1
1.242857436,0
1.242857474,1
1.242857556,0
1.242857594,1
1.242857636,0
1.242857714,1
1.242857796,0
